,job_title,company_name,job_location,date,Big Data,C/C++,Cloud,DevOps,Excel,GitHub,Java/Scala,MATLAB,Machine Learning,Math,NLP,Python,R,REST,RapidMiner,Ruby,SAS,SPSS,SQL/databases,Stata,Visualisation,communication,consulting,date,leadership,problem solving,project_management
85,Data Scientist – Trading Floor,Lussier Executive Search,"Toronto, ON",30+ days ago,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
86,Senior Data Scientist,Wawanesa,"Winnipeg, MB",8 days ago,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,8 days ago,1,0,0
87,Data Scientist / Algorithm Developer,Myant,"Etobicoke, ON",1 day ago,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1 day ago,0,0,0
88,Data Scientist,ATB Financial,"Calgary, AB",23 days ago,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,23 days ago,0,0,0
89,Data Scientist,Canalyst,"Vancouver, BC",30+ days ago,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
90,Data Scientist,Maple Leaf Sports & Entertainment,"Toronto, ON",30+ days ago,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
91,R&D Scientist,ACGT Corporation,"Toronto, ON",save job,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,save job,0,0,0
92,Data Scientist,Prodigy Game,"Burlington, ON",30+ days ago,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
93,Data Scientist,Frozen Mountain Software,"Surrey, BC",2 days ago,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,2 days ago,0,0,0
94,Data Scientist,Guavus,"Montréal, QC",9 days ago,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,9 days ago,0,0,0
95,R & D Scientist Pharmaceutical,SGS Canada,"Mississauga, ON",5 days ago,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,5 days ago,0,0,0
